"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","Aba","Aba","/vol_vol2/data/relevant/r2780.txt","1000 largest cities"
"keyword","Aba","Aba","/vol_vol2/data/relevant/r1953.txt","1000 largest cities"
"keyword","Abidjan","Abidjan","/vol_vol2/data/relevant/r13.txt","1000 largest cities"
"keyword","Abu Dhabi","Abu Dhabi","/vol_vol2/data/relevant/r18.txt","1000 largest cities"
"keyword","Abu Dhabi","Abu Dhabi","/vol_vol2/data/relevant/r17.txt","1000 largest cities"
"keyword","Abu Dhabi","Abu Dhabi","/vol_vol2/data/relevant/r16.txt","1000 largest cities"
"keyword","Abuja","Abuja","/vol_vol2/data/relevant/r21.txt","1000 largest cities"
"keyword","Accra","Accra","/vol_vol2/data/relevant/r23.txt","1000 largest cities"
"keyword","Adana","Adana","/vol_vol2/data/relevant/r27.txt","1000 largest cities"
"keyword","Addis Ababa","Addis Ababa","/vol_vol2/data/relevant/r28.txt","1000 largest cities"
"keyword","Adelaide","Adelaide","/vol_vol2/data/relevant/r29.txt","1000 largest cities"
"keyword","Agra","Agra","/vol_vol2/data/relevant/r41.txt","1000 largest cities"
"keyword","Aguascalientes","Aguascalientes","/vol_vol2/data/relevant/r46.txt","1000 largest cities"
"keyword","Ahmedabad","Ahmedabad","/vol_vol2/data/relevant/r48.txt","1000 largest cities"
"keyword","Aleppo","Aleppo","/vol_vol2/data/relevant/r92.txt","1000 largest cities"
"keyword","Alexandria","Alexandria","/vol_vol2/data/relevant/r98.txt","1000 largest cities"
"keyword","Alexandria","Alexandria","/vol_vol2/data/relevant/r97.txt","1000 largest cities"
"keyword","Alexandria","Alexandria","/vol_vol2/data/relevant/r96.txt","1000 largest cities"
"keyword","Algiers","Algiers","/vol_vol2/data/nonrelevant/b_3108.txt","1000 largest cities"
"keyword","Algiers","Algiers","/vol_vol2/data/relevant/r102.txt","1000 largest cities"
"keyword","Algiers","Algiers","/vol_vol2/$MFT","1000 largest cities"
