"search_type","search_term","match_term","match_path","keyword_list_name"
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2217.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2216.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2215.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2214.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2213.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2212.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2211.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2210.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r221.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2209.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2236.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2235.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2234.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2233.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2232.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2231.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2230.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r223.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2229.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2228.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2227.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2226.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2225.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2224.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2223.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2222.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2220.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r222.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2219.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2218.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2255.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2254.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2253.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2252.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2251.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2250.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r225.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2249.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2248.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2247.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2246.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2245.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2244.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2243.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2242.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2241.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2240.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2239.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2238.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2237.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2274.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2273.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2272.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2271.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2270.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r227.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2269.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2268.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2267.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2266.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2265.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2264.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2263.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2262.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2261.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2260.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r226.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2259.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2257.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2256.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2293.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2292.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2291.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2290.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r229.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2289.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2288.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2287.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2286.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2285.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2284.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2283.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2282.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2281.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2280.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r228.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2279.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2278.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2277.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2275.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2302.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2301.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2300.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r230.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r23.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2299.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2298.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2297.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2296.txt",""
"regex","(air|heli)port","airport","/vol_vol2/data/relevant/r2295.txt",""
