Searches,Relevant,Non-relevant,TP,FP,TN,FN,R,P,F1
all,5095,5095,5038,105,4990,57,0.9888125613346418,0.9795839004472098,0.9841765969915999
KW-aerodrome,5095,5095,7,0,5095,5088,0.0013738959764474975,1.0,0.002744021952175617
KW-airport,5095,5095,4989,0,5095,106,0.9791952894995093,1.0,0.9894882982943276
KW-heliport,5095,5095,5,0,5095,5090,0.0009813542688910696,1.0,0.00196078431372549
KW-_air_heli_port,5095,5095,4995,0,5095,100,0.9803729146221786,1.0,0.9900891972249752
KW-_a_zA_Z__1__port,5095,5095,4999,35,5060,96,0.9811579980372914,0.9930472785061581,0.9870668377924772
KW-_a_zA_Z__3_4_port,5095,5095,4999,8,5087,96,0.9811579980372914,0.9984022368683843,0.9897050089091269
LIST-1000_largest_cities,5095,5095,906,64,5031,4189,0.17782139352306184,0.934020618556701,0.29876339653751033
LIST-100_largest_cities,5095,5095,165,40,5055,4930,0.0323846908734053,0.8048780487804879,0.062264150943396226
LIST-500_largest_cities,5095,5095,569,52,5043,4526,0.11167811579980373,0.9162640901771336,0.19909027291812453
LIST-chat_gpt_airports_1,5095,5095,5021,8,5087,74,0.9854759568204121,0.998409226486379,0.9919004346108258
LIST-chat_gpt_airports_2,5095,5095,968,0,5095,4127,0.18999018645731108,1.0,0.3193138710209467
LIST-heli_air_aerodrome,5095,5095,5001,0,5095,94,0.9815505397448478,1.0,0.9906893819334389
LIST-list_of_world_capitals___unicode,5095,5095,300,50,5045,4795,0.058881256133464184,0.8571428571428571,0.11019283746556476
