"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","Ahmedabad","Ahmedabad","/vol_vol2/data/relevant/r48.txt","100 largest cities"
"keyword","Baghdad","Baghdad","/vol_vol2/data/relevant/r304.txt","100 largest cities"
"keyword","Bangkok","Bangkok","/vol_vol2/data/relevant/r345.txt","100 largest cities"
"keyword","Bangkok","Bangkok","/vol_vol2/data/relevant/r346.txt","100 largest cities"
"keyword","Beijing","Beijing","/vol_vol2/data/relevant/r424.txt","100 largest cities"
"keyword","Beijing","Beijing","/vol_vol2/data/relevant/r426.txt","100 largest cities"
"keyword","Beijing","Beijing","/vol_vol2/data/relevant/r425.txt","100 largest cities"
"keyword","Bijie","Bijie","/vol_vol2/data/relevant/r494.txt","100 largest cities"
"keyword","Bogota","Bogota","/vol_vol2/data/relevant/r545.txt","100 largest cities"
"keyword","Buenos Aires","Buenos Aires","/vol_vol2/data/relevant/r640.txt","100 largest cities"
"keyword","Buenos Aires","Buenos Aires","/vol_vol2/data/relevant/r641.txt","100 largest cities"
"keyword","Cairo","Cairo","/vol_vol2/data/relevant/r694.txt","100 largest cities"
"keyword","Cairo","Cairo","/vol_vol2/data/relevant/r693.txt","100 largest cities"
"keyword","Changde","Changde","/vol_vol2/data/relevant/r800.txt","100 largest cities"
"keyword","Chengdu","Chengdu","/vol_vol2/data/relevant/r830.txt","100 largest cities"
"keyword","Chengdu","Chengdu","/vol_vol2/data/relevant/r829.txt","100 largest cities"
"keyword","Chennai","Chennai","/vol_vol2/data/relevant/r831.txt","100 largest cities"
"keyword","Chicago","Chicago","/vol_vol2/data/relevant/r854.txt","100 largest cities"
"keyword","Chicago","Chicago","/vol_vol2/data/relevant/r851.txt","100 largest cities"
"keyword","Chicago","Chicago","/vol_vol2/data/relevant/r850.txt","100 largest cities"
"keyword","Chicago","Chicago","/vol_vol2/data/relevant/r852.txt","100 largest cities"
"keyword","Chicago","Chicago","/vol_vol2/data/relevant/r855.txt","100 largest cities"
"keyword","Chicago","Chicago","/vol_vol2/data/relevant/r853.txt","100 largest cities"
"keyword","Chicago","Chicago","/vol_vol2/data/relevant/r848.txt","100 largest cities"
