"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","Abu Dhabi","Abu Dhabi","/vol_vol2/data/relevant/r17.txt","list of world capitals - unicode"
"keyword","Abu Dhabi","Abu Dhabi","/vol_vol2/data/relevant/r16.txt","list of world capitals - unicode"
"keyword","Abu Dhabi","Abu Dhabi","/vol_vol2/data/relevant/r18.txt","list of world capitals - unicode"
"keyword","Abuja","Abuja","/vol_vol2/data/relevant/r21.txt","list of world capitals - unicode"
"keyword","Accra","Accra","/vol_vol2/data/relevant/r23.txt","list of world capitals - unicode"
"keyword","Addis Ababa","Addis Ababa","/vol_vol2/data/relevant/r28.txt","list of world capitals - unicode"
"keyword","Algiers","Algiers","/vol_vol2/data/relevant/r102.txt","list of world capitals - unicode"
"keyword","Amman","Amman","/vol_vol2/data/relevant/r137.txt","list of world capitals - unicode"
"keyword","Amman","Amman","/vol_vol2/data/relevant/r138.txt","list of world capitals - unicode"
"keyword","Amsterdam","Amsterdam","/vol_vol2/data/relevant/r141.txt","list of world capitals - unicode"
"keyword","Ankara","Ankara","/vol_vol2/data/relevant/r167.txt","list of world capitals - unicode"
"keyword","Antananarivo","Antananarivo","/vol_vol2/data/relevant/r181.txt","list of world capitals - unicode"
"keyword","Apia","Apia","/vol_vol2/data/relevant/r192.txt","list of world capitals - unicode"
"keyword","Ashgabat","Ashgabat","/vol_vol2/data/relevant/r240.txt","list of world capitals - unicode"
"keyword","Asmara","Asmara","/vol_vol2/data/relevant/r241.txt","list of world capitals - unicode"
"keyword","Astana","Astana","/vol_vol2/data/relevant/r246.txt","list of world capitals - unicode"
"keyword","Athens","Athens","/vol_vol2/data/relevant/r254.txt","list of world capitals - unicode"
"keyword","Athens","Athens","/vol_vol2/data/relevant/r256.txt","list of world capitals - unicode"
"keyword","Athens","Athens","/vol_vol2/data/relevant/r257.txt","list of world capitals - unicode"
"keyword","Athens","Athens","/vol_vol2/data/relevant/r255.txt","list of world capitals - unicode"
"keyword","Avarua","Avarua","/vol_vol2/data/relevant/r287.txt","list of world capitals - unicode"
"keyword","Baghdad","Baghdad","/vol_vol2/data/relevant/r304.txt","list of world capitals - unicode"
"keyword","Baku","Baku","/vol_vol2/data/relevant/r324.txt","list of world capitals - unicode"
"keyword","Bamako","Bamako","/vol_vol2/data/relevant/r336.txt","list of world capitals - unicode"
"keyword","Bangkok","Bangkok","/vol_vol2/data/relevant/r346.txt","list of world capitals - unicode"
"keyword","Bangkok","Bangkok","/vol_vol2/data/relevant/r345.txt","list of world capitals - unicode"
"keyword","Bangui","Bangui","/vol_vol2/data/relevant/r348.txt","list of world capitals - unicode"
"keyword","Banjul","Banjul","/vol_vol2/data/relevant/r351.txt","list of world capitals - unicode"
"keyword","Basseterre","Basseterre","/vol_vol2/data/relevant/r386.txt","list of world capitals - unicode"
"keyword","Beijing","Beijing","/vol_vol2/data/relevant/r424.txt","list of world capitals - unicode"
"keyword","Beijing","Beijing","/vol_vol2/data/relevant/r426.txt","list of world capitals - unicode"
"keyword","Beijing","Beijing","/vol_vol2/data/relevant/r425.txt","list of world capitals - unicode"
"keyword","Beirut","Beirut","/vol_vol2/data/relevant/r428.txt","list of world capitals - unicode"
"keyword","Belfast","Belfast","/vol_vol2/data/relevant/r433.txt","list of world capitals - unicode"
"keyword","Belfast","Belfast","/vol_vol2/data/relevant/r434.txt","list of world capitals - unicode"
"keyword","Belgrade","Belgrade","/vol_vol2/data/relevant/r437.txt","list of world capitals - unicode"
"keyword","Berlin","Berlin","/vol_vol2/data/relevant/r469.txt","list of world capitals - unicode"
"keyword","Bern","Bern","/vol_vol2/data/relevant/r471.txt","list of world capitals - unicode"
"keyword","Bern","Bern","/vol_vol2/data/relevant/r3099.txt","list of world capitals - unicode"
"keyword","Bishkek","Bishkek","/vol_vol2/data/relevant/r511.txt","list of world capitals - unicode"
"keyword","Bissau","Bissau","/vol_vol2/data/relevant/r515.txt","list of world capitals - unicode"
"keyword","Bratislava","Bratislava","/vol_vol2/data/relevant/r592.txt","list of world capitals - unicode"
"keyword","Brazzaville","Brazzaville","/vol_vol2/data/relevant/r596.txt","list of world capitals - unicode"
"keyword","Bridgetown","Bridgetown","/vol_vol2/data/relevant/r608.txt","list of world capitals - unicode"
"keyword","Brussels","Brussels","/vol_vol2/data/relevant/r628.txt","list of world capitals - unicode"
"keyword","Brussels","Brussels","/vol_vol2/data/relevant/r629.txt","list of world capitals - unicode"
"keyword","Bucharest","Bucharest","/vol_vol2/data/relevant/r633.txt","list of world capitals - unicode"
"keyword","Bucharest","Bucharest","/vol_vol2/data/relevant/r634.txt","list of world capitals - unicode"
"keyword","Budapest","Budapest","/vol_vol2/data/relevant/r636.txt","list of world capitals - unicode"
"keyword","Budapest","Budapest","/vol_vol2/data/relevant/r637.txt","list of world capitals - unicode"
"keyword","Buenos Aires","Buenos Aires","/vol_vol2/data/relevant/r640.txt","list of world capitals - unicode"
"keyword","Buenos Aires","Buenos Aires","/vol_vol2/data/relevant/r641.txt","list of world capitals - unicode"
"keyword","Bujumbura","Bujumbura","/vol_vol2/data/relevant/r645.txt","list of world capitals - unicode"
"keyword","Cairo","Cairo","/vol_vol2/data/relevant/r693.txt","list of world capitals - unicode"
"keyword","Cairo","Cairo","/vol_vol2/data/relevant/r694.txt","list of world capitals - unicode"
