Searches,Relevant,Non-relevant,TP,FP,TN,FN,R,P,F1
all,5095,5095,5038,7,5088,57,0.9888125613346418,0.9986124876114966,0.9936883629191322
KW-aerodrome,5095,5095,7,0,5095,5088,0.0013738959764474975,1.0,0.002744021952175617
KW-airport,5095,5095,4989,0,5095,106,0.9791952894995093,1.0,0.9894882982943276
KW-heliport,5095,5095,5,0,5095,5090,0.0009813542688910696,1.0,0.00196078431372549
KW-_air_heli_port,5095,5095,4995,0,5095,100,0.9803729146221786,1.0,0.9900891972249752
KW-_a_zA_Z__1__port,5095,5095,4999,3,5092,96,0.9811579980372914,0.9994002399040384,0.9901951074576607
KW-_a_zA_Z__3_4_port,5095,5095,4999,1,5094,96,0.9811579980372914,0.9998,0.9903912828132738
LIST-1000_largest_cities,5095,5095,906,3,5092,4189,0.17782139352306184,0.9966996699669967,0.3017988007994671
LIST-100_largest_cities,5095,5095,165,2,5093,4930,0.0323846908734053,0.9880239520958084,0.06271379703534778
LIST-500_largest_cities,5095,5095,569,2,5093,4526,0.11167811579980373,0.9964973730297724,0.20084715848923404
LIST-chat_gpt_airports_1,5095,5095,5021,1,5094,74,0.9854759568204121,0.9998008761449622,0.9925867351981813
LIST-chat_gpt_airports_2,5095,5095,968,0,5095,4127,0.18999018645731108,1.0,0.3193138710209467
LIST-heli_air_aerodrome,5095,5095,5001,0,5095,94,0.9815505397448478,1.0,0.9906893819334389
LIST-list_of_world_capitals,5095,5095,300,1,5094,4795,0.058881256133464184,0.9966777408637874,0.1111934766493699
