Searches,Relevant,Non-relevant,TP,FP,TN,FN,R,P,F1,F05,F2,F3
all,5095,113274,5038,30172,83102,57,0.9888125613346418,0.14308435103663733,0.2499937972956209,0.1726110939801967,0.4531390537866523,0.6214765928575836
KW-aerodrome,5095,113274,7,0,113274,5088,0.0013738959764474975,1.0,0.002744021952175617,0.00683193441342963,0.0017167803011723156,0.001526318084688849
KW-airport,5095,113274,4989,36,113238,106,0.9791952894995093,0.9928358208955224,0.9859683794466403,0.9900773963087914,0.9818933280850226,0.9805424528301887
KW-heliport,5095,113274,5,0,113274,5090,0.0009813542688910696,1.0,0.00196078431372549,0.004887585532746823,0.001226391954868776,0.0010902747492368076
KW-_air_heli_port,5095,113274,4995,79,113195,100,0.9803729146221786,0.9844304296413087,0.9823974825449897,0.9836162419755033,0.9811817396087058,0.980777160360502
KW-_a_zA_Z__1__port,5095,113274,4999,25136,88138,96,0.9811579980372914,0.1658868425418948,0.28379222253761,0.1989493373661798,0.49480352370583003,0.6578497170680353
KW-_a_zA_Z__3_4_port,5095,113274,4999,22424,90850,96,0.9811579980372914,0.182292236443861,0.30746048342456483,0.21775113906627058,0.5228751333598309,0.6821965665001773
LIST-1000_largest_cities,5095,113274,906,3757,109517,4189,0.17782139352306184,0.19429551790692687,0.18569378971100636,0.19076093822377566,0.18088887114163643,0.17934201670691638
LIST-100_largest_cities,5095,113274,165,1178,112096,4930,0.0323846908734053,0.12285927029039465,0.05125815470643057,0.07881914588707367,0.03797817980941859,0.03495910843679817
LIST-500_largest_cities,5095,113274,569,2036,111238,4526,0.11167811579980373,0.21842610364683301,0.14779220779220778,0.18337093135675153,0.12377637589732435,0.11741642591828311
LIST-chat_gpt_airports_1,5095,113274,5021,5102,108172,74,0.9854759568204121,0.4959992097204386,0.6598764620843737,0.5507052449163139,0.8230337999541028,0.8969595198113544
LIST-chat_gpt_airports_2,5095,113274,968,11,113263,4127,0.18999018645731108,0.9887640449438202,0.31873559433651627,0.5371212961935412,0.22660236902476708,0.20668744928897806
LIST-heli_air_aerodrome,5095,113274,5001,36,113238,94,0.9815505397448478,0.9928528886241811,0.9871693643900513,0.9905716436239749,0.9837903765196522,0.982669181796746
LIST-list_of_world_capitals,5095,113274,300,1161,112113,4795,0.058881256133464184,0.2053388090349076,0.09151921903599756,0.13712405155864338,0.06867817407627856,0.063403499873193
