"search_type","search_term","match_term","match_path","keyword_list_name"
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1020.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Program Files/WindowsApps/microsoft.windowscommunicationsapps_16005.11629.20316.0_x64__8wekyb3d8bbwe/Office.UI.Xaml.HxShared.dll",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r102.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1019.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1018.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1016.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r625.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1015.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r607.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1014.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r4972.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r994.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r4954.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r993.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r4936.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r992.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r4918.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r991.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r490.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r990.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5075.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r4882.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r99.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5079.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r989.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5078.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r988.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5077.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r987.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5076.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r986.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r59.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1013.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r561.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1012.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r543.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1011.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r525.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r1010.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r508.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r101.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5061.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r999.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5043.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r998.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5025.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r997.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5007.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r996.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r4990.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r995.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5060.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r970.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r506.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r97.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r974.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5064.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r973.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5063.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r972.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5062.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r971.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5056.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r966.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5055.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r965.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5054.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5059.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r969.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5058.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r968.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5057.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r967.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5070.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r98.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r985.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5074.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r984.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5073.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r983.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5072.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r982.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5071.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r981.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5066.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r975.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5065.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r507.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r979.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5069.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r978.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5068.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r977.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5067.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r976.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r964.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5053.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r963.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5052.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r961.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5047.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r956.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5046.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r955.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5045.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r954.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5044.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r953.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5042.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r952.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5041.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r951.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5040.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r950.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r504.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5039.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r949.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5038.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r948.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5037.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5051.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r960.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5050.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r96.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r505.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r959.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5049.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r958.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5048.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r957.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r932.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r937.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5027.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r936.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5026.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r935.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r5024.txt",""
"regex","(air|heli)port","airport","/vol_vol3/Users/catherine/Documents/data/r934.txt",""
