"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r1381.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r903.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r1382.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r4825.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r757.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r2520.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r4825.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r757.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r2520.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r3731.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r3731.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r1381.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r903.txt",""
"keyword","aerodrome","aerodrome","/vol_vol3/Users/catherine/Documents/data/r1382.txt",""
