"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1834.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r428.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1835.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4280.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1836.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4281.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4282.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4278.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1833.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4279.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4274.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r183.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4275.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1830.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4276.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1831.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4277.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1832.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4273.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1829.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1828.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1824.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4269.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1825.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4270.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1826.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4271.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r1827.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4272.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4268.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r430.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r2460.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4300.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r2294.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4298.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r2295.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4299.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r2296.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r43.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r2297.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r2292.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4296.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r2293.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r4297.txt",""
"keyword","airport","airport","/vol_vol3/Users/catherine/Documents/data/r229.txt",""
