"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r4701.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r1680.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r1190.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r3847.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r1545.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r1406.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r1083.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r2485.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r2360.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r1023.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r2675.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r609.txt","chat-gpt-airports-2"
"keyword","City Airport","City Airport","/vol_vol3/Users/catherine/Documents/data/r2518.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r1011.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3068.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r5061.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3066.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r998.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r2043.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r1014.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r1013.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r4081.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3069.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3076.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3075.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3074.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r2044.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r625.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r5007.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r996.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r4075.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r4972.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3949.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r889.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3946.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r4978.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r884.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r4982.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r1911.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3952.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r1909.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3951.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r4984.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r2942.txt","chat-gpt-airports-2"
"keyword","International Airport","International Airport","/vol_vol3/Users/catherine/Documents/data/r3954.txt","chat-gpt-airports-2"
