"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","U.S. Attorney","U.S. Attorney","/vol_vol2/data/relevant/174304.txt","justicegov"
"keyword","U.S. Attorney","U.S. Attorney","/vol_vol2/data/nonrelevant/176800.txt","justicegov"
"keyword","U.S. Attorney","U.S. Attorney","/vol_vol2/data/nonrelevant/175849.txt","justicegov"
"keyword","U.S. Attorney","U.S. Attorney","/vol_vol2/data/nonrelevant/176775.txt","justicegov"
"keyword","U.S. Attorney","U.S. Attorney","/vol_vol2/data/nonrelevant/177183.txt","justicegov"
"keyword","U.S. Attorney","U.S. Attorney","/vol_vol2/data/nonrelevant/177211.txt","justicegov"
"keyword","affidavit","affidavit","/vol_vol2/data/relevant/219187.txt","justicegov"
"keyword","affirmed","affirmed","/vol_vol2/data/nonrelevant/122671.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/124727.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/175819.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/relevant/246315.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/234552.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/234551.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/176751.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/124030.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/176773.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/177235.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/177213.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/176828.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/125725.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/relevant/177182.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/175091.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/246327.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/176802.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/246319.txt","justicegov"
"keyword","allegation","allegation","/vol_vol2/data/nonrelevant/177003.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/244235.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/175686.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/176772.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/174414.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/176841.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/116270.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/221669.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/174461.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/174285.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/124367.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/176816.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/173479.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/175305.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/174295.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/relevant/232647.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/relevant/232643.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/177225.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/relevant/116988.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/173951.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/relevant/116987.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/175761.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/136389.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/199911.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/232512.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/125736.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/201639.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/176528.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/125469.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/125762.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/63057.txt","justicegov"
"keyword","answer","answer","/vol_vol2/data/nonrelevant/62815.txt","justicegov"
