"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","Abet","Abet","/vol_vol2/data/nonrelevant/136413.txt","encyclopedia"
"keyword","Affidavit","Affidavit","/vol_vol2/data/relevant/219187.txt","americanbar"
"keyword","Affidavit","Affidavit","/vol_vol2/data/relevant/219187.txt","chat-gpt-enron"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/176840.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/176771.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/230693.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/177215.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/173419.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/175607.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/175475.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/173413.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/177298.txt","law-society"
"keyword","Agent","Agent","/vol_vol2/data/nonrelevant/176805.txt","law-society"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/192144.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/47174.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/174488.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/174483.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/54619.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/124966.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125021.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125164.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/173684.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/186521.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/$MFT","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/54618.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/174173.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/253810.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175091.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/relevant/151943.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125769.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125771.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175788.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/211401.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/211402.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125762.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/174641.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125766.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175379.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/210343.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175774.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/211399.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125745.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125520.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175772.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/relevant/136411.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125725.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175849.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/174504.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/174505.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/relevant/116987.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175744.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/relevant/116988.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/173771.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/192801.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175761.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/163998.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/176771.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/220211.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/176772.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175841.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/176773.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/176751.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/115658.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/129475.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/176761.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/173838.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/128825.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175409.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/173894.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/176743.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/175819.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/54546.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/relevant/175597.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/115323.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/128814.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125772.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/relevant/174072.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125817.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/125832.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/173837.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/126473.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/128209.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/174233.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/116993.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/116997.txt","enron exp 5"
"keyword","Agreement","Agreement","/vol_vol2/data/nonrelevant/176841.txt","enron exp 5"
