"search_type","search_term","match_term","match_path","keyword_list_name"
"regex","aircrack","wiki.aircrack","/vol_vol6/pagefile.sys",""
"regex","aircrack","patches.aircrack","/vol_vol6/aircrack-ng-1.7-win/ChangeLog",""
"regex","aircrack","patches.aircrack","/vol_vol6/pagefile.sys",""
"regex","aircrack","patches.aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/ChangeLog",""
"regex","aircrack","aircrack_ng_simd_c","/vol_vol6/aircrack-ng-1.7-win/configure.ac",""
"regex","aircrack","aircrack_ng_simd_c","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/build/m4/aircrack_ng_simd.m4",""
"regex","aircrack","aircrack_ng_simd_c","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_simd.m4",""
"regex","aircrack","aircrack_ng_simd_c","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/configure.ac",""
"regex","aircrack","aircrack_ng_fru","/vol_vol6/pagefile.sys",""
"regex","aircrack","aircrack_ng_compat.m4","/vol_vol6/$Extend/$UsnJrnl:$J",""
"regex","aircrack","aircrack_ng_compat.m4","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/build/m4/aircrack_ng_compat.m4-slack",""
"regex","aircrack","aircrack_ng_compat.m4","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_compat.m4-slack",""
"regex","aircrack","aircrack_ng_compat.m4","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/build/m4/aircrack_ng_compat.m4",""
"regex","aircrack","aircrack_ng_compat.m4","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_compat.m4",""
"regex","aircrack","aircrack_ng_compat.m4","/vol_vol6/$MFT",""
"regex","aircrack","dummy.ccygwin_attach_dllcygwin_attach_dll.cregister_frame_ctor.ctors.65535.weak.__real__znam._cygwin_crt0_common__imp_setsockopt.weak.__real__znamrkst9nothrow_t._cygwin_crt0_common__imp_optarg___runtime_pseudo_reloc_list___head_cygaircrack_osdep_1_7_0_dll__nm_optarg__imp_wi_get_rate__imp_abort__lib64_libkernel32_a_iname__imp_wi_set_channel__data_start_____dtor_list__cygwin1_dll_iname__imp__dll_crt0__imp_wi_read__imp_calloc___tls_start____locale_ctype_ptrdll_dllcrt0__rt_psrelocs_start__dll_characteristics____size_of_stack_commit____imp_strlcpy__size_of_stack_reserve____major_subsystem_version_____crt_xl_start_____crt_xi_start_____crt_xi_end__cygwin_internal__dynamically_loaded__imp_listen.weak.__real__znwm._cygwin_crt0_common__getreent__imp_sysconf__imp_tcgetpgrp__bss_start____dso_handle___runtime_pseudo_reloc_list_end____imp_cygwin_internal__imp_posix_memalign__size_of_heap_commit____imp_free__imp_getpgrp__imp___errno___crt_xp_start___head_cygwin1_dll__nm__impure_ptr__imp_errx___crt_xp_end____minor_os_version____imp_getcwd__imp_strdup__imp_putscygaircrack_osdep_1_7_0_dll_iname__imp_atoi__section_alignment____iat_end____runtime_pseudo_reloc_list____imp_wi_open__imp_getopt__imp_dll_dllcrt0__imp_select__imp_errsetsockopt__data_end____imp___locale_ctype_ptr__imp_fwrite__ctor_list___head_lib64_libkernel32_acygwin_detach_dllgetmodulehandlea__bss_end__.weak.__real__zdlpvrkst9nothrow_t._cygwin_crt0_common.weak.__real__zdlpv._cygwin_crt0_common__imp_strstr___crt_xc_end__.weak.__real__zdapv._cygwin_crt0_common.weak.__real__znwmrkst9nothrow_t._cygwin_crt0_commonwi_get_mac___crt_xc_start____imp_bind__imp_toupper___ctor_list____imp_sscanf__imp_snprintf__imp_signal__imp___getreent__cxa_atexit__imp_getmodulehandlea__rt_psrelocs_size.weak.__real__zdapvrkst9nothrow_t._","/vol_vol6/aircrack-ng-1.7-win/bin/airserv-ng.exe",""
"regex","aircrack","libaircrack_ce_wpa_x86_avx512_la_libadd","/vol_vol6/aircrack-ng-1.7-win/lib/Makefile.inc",""
"regex","aircrack","libaircrack_ce_wpa_x86_avx512_la_libadd","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/lib/Makefile.inc",""
"regex","aircrack","aircrack_ng_airpcap","/vol_vol6/aircrack-ng-1.7-win/configure.ac",""
"regex","aircrack","aircrack_ng_airpcap","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/build/m4/aircrack_ng_airpcap.m4",""
"regex","aircrack","aircrack_ng_airpcap","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/configure.ac",""
"regex","aircrack","aircrack_ng_airpcap","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_airpcap.m4",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/$MFT",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-airbase-ng-0002.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-airbase-ng-0001.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0023.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0022.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0019.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0018.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0017.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0016.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0014.sh",""
"regex","aircrack","aircrack_ng_args","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0013.sh",""
