"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","hacking","hacking","/vol_vol6/$OrphanFiles/en-US/MsiProvider.dll.mui-slack",""
"keyword","hacking","hacking","/vol_vol6/Windows/System32/config/SYSTEM.LOG2",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.WindowsStore_8wekyb3d8bbwe/LocalCache/perUserCache_0/38c98131-9137-4d7e-ab0c-aca4931fd343",""
"keyword","hacking","hacking","/vol_vol6/Program Files/Wireshark/enterprises.tsv",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Mozilla.Firefox_n80bbvh6b1yt2/LocalCache/Roaming/Mozilla/Firefox/Profiles/lu6ejwc6.default-release/places.sqlite",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.WindowsStore_8wekyb3d8bbwe/LocalCache/perUserCache_0/35a871d4-4338-4352-a33c-a1b7f1fd8fcd",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Mozilla.Firefox_n80bbvh6b1yt2/LocalCache/Local/Mozilla/Firefox/Profiles/lu6ejwc6.default-release/cache2/entries/D0F48A0632B6C451791F4257697E861961F06A6F",""
"keyword","hacking","hacking","/vol_vol6/ProgramData/Microsoft/Diagnosis/ScenariosSqlStore/EventStore.db-shm-slack",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Microsoft/Windows/INetCache/IE/2JZ3V2MW/2[1]",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.WindowsStore_8wekyb3d8bbwe/LocalCache/perUserCache_0/bd916297-dd66-44ce-ba9b-8fd5806279fa",""
"keyword","hacking","hacking","/vol_vol6/ProgramData/Microsoft/Windows/AppRepository/14382rajuacharya.EthicalHackingResources_1.0.0.0_neutral__pc7qkqst7ppf6.xml",""
"keyword","hacking","hacking","/vol_vol6/Windows/SoftwareDistribution/DataStore/DataStore.edb",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.Windows.Search_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache133377841695358253.txt",""
"keyword","hacking","hacking","/vol_vol6/$OrphanFiles/kok-IN/mpuxagent.dll.mui",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.Windows.Search_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache133377841585412021.txt",""
"keyword","hacking","hacking","/vol_vol6/ProgramData/Microsoft/Windows Defender/Scans/mpenginedb.db-wal-slack",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.WindowsStore_8wekyb3d8bbwe/LocalCache/perUserCache_0/af00603e-9d59-45b5-afa3-3d5ba991c469",""
"keyword","hacking","hacking","/vol_vol6/Windows/System32/config/systemprofile/AppData/Local/Microsoft/InstallService/{71628675-B8D3-4E8F-9DC9-D473041A14D6}.catalogItem",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Microsoft/Windows/Safety/edge/remote/script_300161259571223429446516194326035503227.rel.v2",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy/TempState/ShareUnifiedTileModelCache.dat",""
"keyword","hacking","hacking","/vol_vol6/$Unalloc/Unalloc_313552_14853304320_15579979776",""
"keyword","hacking","hacking","/vol_vol6/$Unalloc/Unalloc_313552_15593672704_16860340224",""
"keyword","hacking","hacking","/vol_vol6/$Unalloc/Unalloc_313552_378814464_14548226048",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Mozilla.Firefox_n80bbvh6b1yt2/LocalCache/Local/Mozilla/Firefox/Profiles/lu6ejwc6.default-release/cache2/entries/4D0AED9A66A9518411B7439E14573604EC28B43A",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Microsoft/Windows/UsrClass.dat",""
"keyword","hacking","hacking","/vol_vol6/$Unalloc/Unalloc_313552_16862437376_18528505856",""
"keyword","hacking","hacking","/vol_vol6/aircrack-ng-1.7-win/scripts/airdrop-ng/README",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/14382rajuacharya.EthicalHackingResources_pc7qkqst7ppf6/LocalState/_sessionState.json",""
"keyword","hacking","hacking","/vol_vol6/Windows/System32/smartscreen.exe",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/ConnectedDevicesPlatform/L.catherine/ActivitiesCache.db",""
"keyword","hacking","hacking","/vol_vol6/ProgramData/Microsoft/Windows/AppRepository/StateRepository-Machine.srd",""
"keyword","hacking","hacking","/vol_vol6/Program Files/WindowsApps/14382rajuacharya.EthicalHackingResources_1.0.0.0_neutral__pc7qkqst7ppf6/microsoft.system.package.metadata/Autogen/JSByteCodeCache_64",""
"keyword","hacking","hacking","/vol_vol6/Windows/WinSxS/amd64_microsoft-windows-smartscreen_31bf3856ad364e35_10.0.19041.2913_none_31d73544d5909088/smartscreen.exe",""
"keyword","hacking","hacking","/vol_vol6/Windows/System32/config/systemprofile/AppData/Local/Microsoft/InstallService/{14BE79C6-6474-4A97-8DC2-B0F61A7C9C8F}.catalogItem",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/14382rajuacharya.EthicalHackingResources_pc7qkqst7ppf6/LocalState/static-50525.js",""
"keyword","hacking","hacking","/vol_vol6/Windows/apppatch/sysmain.sdb",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/14382rajuacharya.EthicalHackingResources_pc7qkqst7ppf6/LocalState/static-50523.js",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/NTUSER.DAT",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.WindowsStore_8wekyb3d8bbwe/LocalCache/perUserCache_0/29be49d5-a5f1-47e8-a675-d26d0379d74c",""
"keyword","hacking","hacking","/vol_vol6/Program Files/WindowsApps/14382rajuacharya.EthicalHackingResources_1.0.0.0_neutral__pc7qkqst7ppf6/AppxManifest.xml",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Mozilla.Firefox_n80bbvh6b1yt2/LocalCache/Roaming/Mozilla/Firefox/Profiles/lu6ejwc6.default-release/sessionstore.jsonlz4",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/14382rajuacharya.EthicalHackingResources_pc7qkqst7ppf6/LocalState/static-50520.js",""
"keyword","hacking","hacking","/vol_vol6/Windows/WinSxS/amd64_microsoft-windows-a..ence-mitigations-c1_31bf3856ad364e35_10.0.19041.2846_none_80a52d79a7b03415/sysmain.sdb",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Mozilla.Firefox_n80bbvh6b1yt2/LocalCache/Roaming/Mozilla/Firefox/Profiles/lu6ejwc6.default-release/sessionstore-backups/upgrade.jsonlz4-20230815173142",""
"keyword","hacking","hacking","/vol_vol6/Program Files/WindowsApps/14382rajuacharya.EthicalHackingResources_1.0.0.0_neutral__pc7qkqst7ppf6/js/data.js",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Microsoft.Windows.Search_cw5n1h2txyewy/LocalState/ConstraintIndex/Apps_{fe53ebb3-1df1-4e22-beb6-bc623b0a17ba}/0.0.filtertrie.intermediate.txt",""
"keyword","hacking","hacking","/vol_vol6/Users/catherine/AppData/Local/Packages/Mozilla.Firefox_n80bbvh6b1yt2/LocalCache/Roaming/Mozilla/Firefox/Profiles/lu6ejwc6.default-release/sessionstore-backups/previous.jsonlz4",""
