"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/test/test-airodump-ng-0005.sh",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/ChangeLog",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/test/test-airodump-ng-0004.sh",""
"keyword","kismet","kismet","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/src/aireplay-ng/aireplay-ng.c",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/test/test-airodump-ng-0003.sh",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/test/test-airodump-ng-0001.sh",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/test/test-airodump-ng-0002.sh",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/manpages/airodump-ng.8.in",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/src/ivstools/ivstools.c",""
"keyword","kismet","kismet","/vol_vol6/$MFT",""
"keyword","kismet","kismet","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/src/airdecap-ng/airdecap-ng.c",""
"keyword","kismet","kismet","/vol_vol6/Program Files/Wireshark/enterprises.tsv",""
"keyword","kismet","kismet","/vol_vol6/Windows/WinSxS/amd64_microsoft-windows-s..voicecommon-onecore_31bf3856ad364e35_10.0.19041.746_none_133ac2bb3e537369/MSTTSLocEnUS.dat",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/include/aircrack-ng/support/communications.h",""
"keyword","kismet","kismet","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/src/aircrack-ng/aircrack-ng.c",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/lib/libac/support/communications.c",""
"keyword","kismet","kismet","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/lib/csharp/WirelessPanda/Readers/NetXMLReader.cs",""
"keyword","kismet","kismet","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/lib/csharp/WirelessPanda/Readers/UniversalReader.cs",""
"keyword","kismet","kismet","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/src/airbase-ng/airbase-ng.c",""
"keyword","kismet","kismet","/vol_vol6/aircrack-ng-1.7-win/src/airtun-ng/airtun-ng.c",""
