"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","ssid","ssid","/vol_vol6/Program Files/Wireshark/libwireshark.dll",""
"keyword","ssid","ssid","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/manpages/airdecloak-ng.1.in",""
"keyword","ssid","ssid","/vol_vol6/Windows/WinSxS/amd64_dual_netathr10x.inf_31bf3856ad364e35_10.0.19041.1_none_045e44cd3c4b69ac/Qcamain10x64.sys",""
"keyword","ssid","ssid","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/manpages/airbase-ng.8.in",""
"keyword","ssid","ssid","/vol_vol6/Windows/WinSxS/amd64_microsoft-windows-s..tworkmobilehandlers_31bf3856ad364e35_10.0.19041.1202_none_7071ca9643718427/NetworkMobileSettings.dll",""
"keyword","ssid","ssid","/vol_vol6/aircrack-ng-1.7-win/manpages/tkiptun-ng.8.in",""
"keyword","ssid","ssid","/vol_vol6/Windows/System32/NetworkMobileSettings.dll",""
"keyword","ssid","ssid","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/manpages/airdecap-ng.1.in",""
"keyword","ssid","ssid","/vol_vol6/Windows/SysWOW64/cdp.dll",""
"keyword","ssid","ssid","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/manpages/aircrack-ng.1.in",""
"keyword","ssid","ssid","/vol_vol6/Windows/WinSxS/amd64_dual_athw8x.inf_31bf3856ad364e35_10.0.19041.1_none_31783fb7c0c5cc3b/athw8x.sys",""
"keyword","ssid","ssid","/vol_vol6/Program Files/WindowsApps/Microsoft.549981C3F5F10_1.1911.21713.0_x64__8wekyb3d8bbwe/Microsoft.IoT.Cortana.dll",""
"keyword","ssid","ssid","/vol_vol6/Windows/WinSxS/amd64_dual_athw8x.inf_31bf3856ad364e35_10.0.19041.1_none_31783fb7c0c5cc3b/athw8x.INF",""
"keyword","ssid","ssid","/vol_vol6/Windows/WinSxS/amd64_bcmwdidhdpcie.inf.resources_31bf3856ad364e35_10.0.19041.1_en-us_6ef47fef73f69fa1/bcmwdidhdpcie.inf_loc",""
"keyword","ssid","ssid","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/patches/old/rt2570-cvs-20050824.patch",""
"keyword","ssid","ssid","/vol_vol6/Windows/WinSxS/amd64_dual_rtwlanu_oldic.inf_31bf3856ad364e35_10.0.19041.1_none_00317e0c4812d44c/rtwlanu_oldIC.inf",""
"keyword","ssid","ssid","/vol_vol6/aircrack-ng-1.7-win/src/airtun-ng/airtun-ng.c",""
"keyword","ssid","ssid","/vol_vol6/aircrack-ng-1.7-win/src/airolib-ng/airolib-ng.c",""
