"search_type","search_term","match_term","match_path","keyword_list_name"
"keyword","AirSnort","AirSnort","/vol_vol6/Users/catherine/Downloads/wireless_hacking.pdf","chatgpt-wifi1"
"keyword","AirSnort","AirSnort","/vol_vol6/Program Files/Wireshark/Acknowledgements.md","chatgpt-wifi1"
"keyword","AirSnort","AirSnort","/vol_vol6/Users/catherine/AppData/Local/Packages/Mozilla.Firefox_n80bbvh6b1yt2/LocalCache/Local/Mozilla/Firefox/Profiles/lu6ejwc6.default-release/cache2/entries/4D0AED9A66A9518411B7439E14573604EC28B43A","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/scripts/airdrop-ng/doc/Makefile.am","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/build/benchmark","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/test/test-aircrack-ng-0015.sh","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_asan.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_compat.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_code_coverage.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_airpcap.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/AUTHORS","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/test/test-airbase-ng-0003.sh","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/autogen.sh","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/apparmor/usr.sbin.airodump-ng","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/clang_format_all.sh","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/scripts/airdrop-ng/airdrop/libOuiParse.py","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/README","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/patches/wpe/hostapd-wpe/README.md","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/benchmark","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/README.md","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/patches/wpe/hostapd-wpe/hostapd-2.10-wpe.patch","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/bin/wesside-ng.exe","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/apparmor/usr.bin.aircrack-ng","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_mac.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/build/m4/aircrack_ng_prog_cxx.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_pcap.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_os_detect.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_largefile.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_jemalloc.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_libnl.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/build/m4/aircrack_ng_compiler.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_hwloc.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_ext_scripts.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_experimental.m4","chatgpt-wifi1"
"keyword","Aircrack-ng","Aircrack-ng","/vol_vol6/aircrack-ng-1.7-win/build/m4/aircrack_ng_ethtool.m4","chatgpt-wifi1"
