"search_type","search_term","match_term","match_path","keyword_list_name"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/ce-wpa/jcommon.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/src/wpaclean/wpaclean.c","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/ce-wpa/crypto_engine.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/aircrack-ng-1.7-win/include/aircrack-ng/crypto/sha1-sse2.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/ce-wpa/arch.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/src/wesside-ng/wesside-ng.c","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/aircrack-ng-1.7-win/include/aircrack-ng/crypto/crypto.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/ce-wpa/aligned.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/aircrack-ng-1.7-win/include/aircrack-ng/defs.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/ce-wpa/johnswap.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/ce-wpa/memory.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/src/tkiptun-ng/tkiptun-ng.c","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/osdep/channel.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/osdep/byteorder.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/test/test-aircrack-ng-0001.sh","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/defs.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/aircrack-ng-1.7-win/include/aircrack-ng/third-party/hashcat.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/test/test-aircrack-ng-0005.sh","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/osdep/network.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/include/aircrack-ng/osdep/common.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/test/test-aircrack-ng-0004.sh","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/test/test-aircrack-ng-0002.sh","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/test/test-aircrack-ng-0003.sh","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/test/Makefile.inc","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/aircrack-ng-1.7-win/include/aircrack-ng/support/fragments.h","wifi-list6"
"regex","AIRCRACK","aircrack","/vol_vol6/Users/catherine/Downloads/aircrack-ng-1.7/test/int-test-common.sh","wifi-list6"
