2023-10-10 08:50:50,677 - root - INFO - report path set to C:\Cases\WiFi Hacking Keywords V3\Reports\WiFi Hacking Keywords V3 Keyword Export Report Module 10-10-2023-08-50-50\
2023-10-10 08:50:50,832 - root - DEBUG - artefact_to_object_mappings:
2023-10-10 08:50:50,836 - root - DEBUG - ============================
2023-10-10 08:50:50,839 - root - DEBUG - -9223372036854768784,26522
2023-10-10 08:50:50,845 - root - DEBUG - -9223372036854767453,313553
2023-10-10 08:50:50,846 - root - DEBUG - -9223372036854766121,25967
2023-10-10 08:50:50,849 - root - DEBUG - -9223372036854768783,24589
2023-10-10 08:50:50,851 - root - DEBUG - -9223372036854767452,15543
2023-10-10 08:50:50,852 - root - DEBUG - -9223372036854766122,23944
2023-10-10 08:50:50,855 - root - DEBUG - -9223372036854768786,24518
2023-10-10 08:50:50,857 - root - DEBUG - -9223372036854767455,313556
2023-10-10 08:50:50,858 - root - DEBUG - -9223372036854766123,313553
2023-10-10 08:50:50,861 - root - DEBUG - -9223372036854768785,26486
2023-10-10 08:50:50,862 - root - DEBUG - -9223372036854767454,20595
2023-10-10 08:50:50,864 - root - DEBUG - -9223372036854766124,24094
2023-10-10 08:50:50,865 - root - DEBUG - -9223372036854768780,23912
2023-10-10 08:50:50,868 - root - DEBUG - -9223372036854768782,25843
2023-10-10 08:50:50,869 - root - DEBUG - -9223372036854767451,18871
2023-10-10 08:50:50,871 - root - DEBUG - -9223372036854768781,313553
2023-10-10 08:50:50,874 - root - DEBUG - -9223372036854767450,313555
2023-10-10 08:50:50,875 - root - DEBUG - -9223372036854766120,24094
2023-10-10 08:50:50,877 - root - DEBUG - -9223372036854766129,313553
2023-10-10 08:50:50,878 - root - DEBUG - -9223372036854768788,24482
2023-10-10 08:50:50,881 - root - DEBUG - -9223372036854767457,18061
2023-10-10 08:50:50,884 - root - DEBUG - -9223372036854766125,100607
2023-10-10 08:50:50,885 - root - DEBUG - -9223372036854768787,313553
2023-10-10 08:50:50,888 - root - DEBUG - -9223372036854767456,16782
