Searches,Relevant,Non-relevant,TP,FP,TN,FN,R,P,F1
all,2772,116045,1659,3809,112236,1113,0.5984848484848485,0.30340160936356986,0.4026699029126214
KW-aircrack,2772,116045,595,8,116037,2177,0.21464646464646464,0.9867330016583747,0.35259259259259257
KW-hacking,2772,116045,29,36,116009,2743,0.010461760461760462,0.4461538461538462,0.020444131124427212
KW-hashcat,2772,116045,16,0,116045,2756,0.005772005772005772,1.0,0.011477761836441893
KW-kismet,2772,116045,51,3,116042,2721,0.0183982683982684,0.9444444444444444,0.03609341825902336
KW-packet,2772,116045,528,1399,114646,2244,0.19047619047619047,0.27400103788271923,0.22472866567354757
KW-ssid,2772,116045,148,431,115614,2624,0.05339105339105339,0.2556131260794473,0.08833184124142048
KW-wifi,2772,116045,78,948,115097,2694,0.02813852813852814,0.07602339181286549,0.04107424960505529
KW-wireshark,2772,116045,473,33,116012,2299,0.17063492063492064,0.9347826086956522,0.28859060402684567
LIST-chatgpt_wifi1,2772,116045,488,23,116022,2284,0.17604617604617603,0.9549902152641878,0.2972890648796832
LIST-chatgpt_wifi2,2772,116045,482,22,116023,2290,0.1738816738816739,0.9563492063492064,0.29426129426129427
LIST-wifi_list1,2772,116045,98,1446,114599,2674,0.03535353535353535,0.06347150259067358,0.0454124189063948
LIST-wifi_list2,2772,116045,616,2798,113247,2156,0.2222222222222222,0.18043350908025776,0.199159392175881
LIST-wifi_list3,2772,116045,955,151,115894,1817,0.3445165945165945,0.8634719710669078,0.4925219185146983
LIST-wifi_list4,2772,116045,1015,610,115435,1757,0.3661616161616162,0.6246153846153846,0.46167841710256996
LIST-wifi_list5,2772,116045,1251,1839,114206,1521,0.4512987012987013,0.40485436893203886,0.42681678607983625
LIST-wifi_list6,2772,116045,1583,1930,114115,1189,0.5710678210678211,0.4506120125249075,0.503739061256961
LIST-wifi_list6a,2772,116045,1403,753,115292,1369,0.5061327561327561,0.6507421150278293,0.5693993506493505
LIST-wifi_list6b,2772,116045,1374,312,115733,1398,0.49567099567099565,0.8149466192170819,0.6164199192462988
LIST-wifi_list6c,2772,116045,1458,378,115667,1314,0.525974025974026,0.7941176470588235,0.6328124999999999
LIST-wifi_list6d,2772,116045,1483,1480,114565,1289,0.534992784992785,0.5005062436719541,0.5171752397558849
LIST-wifi_list6e,2772,116045,1476,1428,114617,1296,0.5324675324675324,0.5082644628099173,0.5200845665961944
LIST-wifi_list6f,2772,116045,1411,191,115854,1361,0.509018759018759,0.8807740324594258,0.6451760402377686
